Product,Category,HA,A,SW,B,c,w,G,mf,NoColor,Available,d,L,Sl,ss,z,od,R,En,Lz,qty,order,demand,price,
ASW SCREEN HEAD/JAMB,ALUMINUM,0,0,0,0,0,0,0,0,0,0,1,10,3.16227766,5,1.88,0.77,15,0,0.012,20,-9,5,0.0,
DIVIDER,ALUMINUM,0,0,0,0,0,0,0,0,0,0,1,10,3.16227766,5,1.88,0.77,15,0,0.012,20,-9,5,0.0,
SCREEN FRAME DOUBLE,ALUMINUM,30,34,14,0,0,0,0,0,0,78,5,3,1.732050808,3,1.88,1.07,18,0,0.012,50,-10,25,0.0,
GLASS CLIP 1/4,ALUMINUM,0,23,0,0,0,0,0,0,0,23,2,7,2.645751311,5,1.88,1.02,19,0,0.012,30,-12,10,0.0,
GLASS CLIP 1/2,ALUMINUM,0,0,39,0,0,0,0,0,0,39,3,5,2.236067977,4,1.88,1.05,19,0,0.012,40,-12,15,0.0,
UPPER CAHA,ALUMINUM,14,2,0,0,0,0,0,0,0,16,2,7,2.645751311,5,1.88,1.02,19,0,0.012,30,-12,10,0.0,
1/8" CAHA,ALUMINUM,0,0,0,0,0,0,0,0,0,0,1,10,3.16227766,5,1.88,0.77,15,0,0.012,20,-9,5,0.0,
1/8" POLY GUIDE,ALUMINUM,0,0,0,0,0,0,0,0,0,0,1,10,3.16227766,5,1.88,0.77,15,0,0.012,20,-9,5,0.0,
CAHA BEARING,ALUMINUM,0,0,0,0,0,0,0,0,0,0,1,10,3.16227766,5,1.88,0.77,15,0,0.012,20,-9,5,0.0,
CAHA PLASTIC (LOWER CAHA),ALUMINUM,0,22,0,0,0,0,0,0,0,22,1,10,3.16227766,5,1.88,0.77,15,0,0.012,20,-9,5,0.0,
PLASTIC ROLLER,ALUMINUM,0,21,0,0,0,0,0,0,0,21,1,10,3.16227766,5,1.88,0.77,15,0,0.012,20,-9,5,0.0,
CHANNEL 1/8x3/4x3/4,ALUMINUM,0,0,0,0,0,0,0,0,0,0,1,10,3.16227766,5,1.88,0.77,15,0,0.012,20,-9,5,0.0,
